Task ID,Date (task completed),Insert Date,Group Name,Sub Group,Task Labels,Task Name,Rewarded,ADA,GMBL,AGIX,USD,Transaction ID
1737,27.01.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Jan 27, 2023",TRUE,0,100,2,0,
1510,31.01.23,,SingularityNET,Marketing Guild,Operations,"Collecting SingularityNET Marketplace services on Miro Board - 120 AGIX, 200 GMBL, 20 ADA",TRUE,20,200,120,0,
1738,20.01.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Jan 20, 2023",TRUE,0,100,2,0,
1739,20.01.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Jan 20, 2023",TRUE,0,100,2,0,
1740,20.01.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Jan 20, 2023",FALSE,0,100,2,0,
1741,20.01.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Jan 20, 2023",TRUE,0,100,2,0,
1742,20.01.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Jan 20, 2023",TRUE,0,100,2,0,
1743,20.01.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Jan 20, 2023",TRUE,0,100,2,0,
1744,20.01.23,14.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Jan 20, 2023",TRUE,0,100,2,0,
1749,09.02.23,14.02.23,SingularityNET,Ambassador Program,Community Communication,Join Treasury Guild - Feb 9 2023,TRUE,0,150,2,0,
1750,09.02.23,14.02.23,SingularityNET,Ambassador Program,Community Communication,Join Treasury Guild - Feb 9 2023,TRUE,0,150,2,0,
1751,09.02.23,14.02.23,SingularityNET,Ambassador Program,Community Communication,Join Treasury Guild - Feb 9 2023,TRUE,0,150,2,0,
1752,09.02.23,14.02.23,SingularityNET,Ambassador Program,Community Communication,Join Treasury Guild - Feb 9 2023,TRUE,0,150,2,0,
1592,07.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 5 AGIX,TRUE,0,100,5,0,
1593,07.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 5 AGIX,TRUE,0,100,5,0,
1594,07.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 5 AGIX,TRUE,0,100,5,0,
1595,07.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 5 AGIX,TRUE,0,100,5,0,
1596,07.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 5 AGIX,TRUE,0,100,5,0,
1597,07.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 5 AGIX,TRUE,0,100,5,0,
1598,07.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 5 AGIX,TRUE,0,100,5,0,
1599,07.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 5 AGIX,TRUE,0,100,5,0,
1600,07.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 5 AGIX,TRUE,0,100,5,0,
1601,07.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 5 AGIX,TRUE,0,100,5,0,
1753,09.02.23,14.02.23,SingularityNET,Ambassador Program,Community Communication,Join Treasury Guild - Feb 9 2023,TRUE,0,150,2,0,
1754,09.02.23,14.02.23,SingularityNET,Ambassador Program,Community Communication,Join Treasury Guild - Feb 9 2023,TRUE,0,150,2,0,
1711,14.02.23,,SingularityNET,Marketing Guild,Content Creation,Create video for DF - Swae - 20 USD,TRUE,0,200,2,20,
1712,14.02.23,,SingularityNET,Marketing Guild,Content Creation,Create video for DF - Swae - 20 USD,TRUE,0,200,2,20,
1713,14.02.23,,SingularityNET,Marketing Guild,Content Creation,Create video for DF - Swae - 20 USD,TRUE,0,200,2,20,
1714,14.02.23,,SingularityNET,Marketing Guild,Content Creation,Create video for DF - Swae - 20 USD,TRUE,0,200,2,20,
1725,14.02.23,,SingularityNET,Marketing Guild,Operations,Call - Fly & Cran - 54 AGIX,TRUE,0,100,54,0,
1726,14.02.23,,SingularityNET,Marketing Guild,Operations,Call - Fly & Cran - 54 AGIX,TRUE,0,100,54,0,
1957,17.02.23,21.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 17, 2023",TRUE,0,100,2,0,
1745,14.02.23,,SingularityNET,Marketing Guild,Content Creation,AI marketplace write-up - 100 AGIX (ups wrong address),TRUE,0,200,100,0,
1746,14.02.23,,SingularityNET,Marketing Guild,Operations,Marketing Guild Workshop - 150 AGIX,TRUE,0,300,150,0,
1747,14.02.23,,SingularityNET,Marketing Guild,Operations,Marketing Guild Workshop - 150 AGIX,TRUE,0,300,150,0,
1748,14.02.23,,SingularityNET,Marketing Guild,Community Communication,"Make Spreadsheet of Marketing Guild - Task Ideation"" - 100AGIX""",TRUE,0,200,2,0,
1958,17.02.23,21.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 17, 2023",TRUE,0,100,2,0,
1959,17.02.23,21.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 17, 2023",TRUE,0,100,2,0,
1960,17.02.23,21.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 17, 2023",TRUE,0,100,2,0,
1961,17.02.23,21.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 17, 2023",FALSE,0,100,2,0,
1962,17.02.23,21.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 17, 2023",TRUE,0,100,2,0,
1963,17.02.23,21.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 17, 2023",TRUE,0,100,2,0,
1755,14.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 2 AGIX,TRUE,0,100,2,0,
1756,14.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 2 AGIX,TRUE,0,100,2,0,
1757,14.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 2 AGIX,TRUE,0,100,2,0,
1758,14.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 2 AGIX,TRUE,0,100,2,0,
1759,14.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 2 AGIX,TRUE,0,100,2,0,
1760,14.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 2 AGIX,FALSE,0,100,2,0,
1761,14.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 2 AGIX,TRUE,0,100,2,0,
1762,14.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 2 AGIX,TRUE,0,100,2,0,
1763,14.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 2 AGIX,TRUE,0,100,2,0,
1764,14.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 2 AGIX,TRUE,0,100,2,0,
1765,14.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 2 AGIX,TRUE,0,100,2,0,
1766,14.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 2 AGIX,TRUE,0,100,2,0,
1767,14.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 2 AGIX,TRUE,0,100,2,0,
1768,14.02.23,,SingularityNET,Ambassador Program,Community Communication,Join Ambassador Town Hall #33 - Earn 100 GMBL & 2 AGIX,TRUE,0,100,2,0,
1964,17.02.23,21.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 17, 2023",TRUE,0,100,2,0,
1965,17.02.23,21.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 17, 2023",TRUE,0,100,2,0,
1780,14.02.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #11 - 5 AGX &150 Gimbal,TRUE,0,150,2,0,
1781,14.02.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #11 - 5 AGX &150 Gimbal,TRUE,0,150,2,0,
1782,14.02.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #11 - 5 AGX &150 Gimbal,TRUE,0,150,2,0,
1783,14.02.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #11 - 5 AGX &150 Gimbal,TRUE,0,150,2,0,
1784,14.02.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #11 - 5 AGX &150 Gimbal,TRUE,0,150,2,0,
1785,14.02.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #11 - 5 AGX &150 Gimbal,TRUE,0,150,2,0,
1786,14.02.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #11 - 5 AGX &150 Gimbal,TRUE,0,150,2,0,
1787,14.02.23,,SingularityNET,Community Governance - Expert Group,Community Communication,Community Governance - Expert Group - Weekly Call #11 - 5 AGX &150 Gimbal,TRUE,0,150,2,0,
1966,17.02.23,21.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 17, 2023",TRUE,0,100,2,0,
1967,17.02.23,21.02.23,SingularityNET,Marketing Guild,Community Communication,"Attend Marketing Guild - Feb 17, 2023",TRUE,0,100,2,0,
1969,14.02.23,21.02.23,SingularityNET,Ambassador Program,Community Communication,Process Guild call on February 14th.,TRUE,0,150,2,0,
1970,14.02.23,21.02.23,SingularityNET,Ambassador Program,Community Communication,Process Guild call on February 14th.,TRUE,0,150,2,0,
1971,14.02.23,21.02.23,SingularityNET,Ambassador Program,Community Communication,Process Guild call on February 14th.,TRUE,0,150,2,0,
1972,14.02.23,21.02.23,SingularityNET,Ambassador Program,Community Communication,Process Guild call on February 14th.,TRUE,0,150,2,0,
1973,14.02.23,21.02.23,SingularityNET,Ambassador Program,Community Communication,Process Guild call on February 14th.,TRUE,0,150,2,0,
1974,14.02.23,21.02.23,SingularityNET,Ambassador Program,Community Communication,Process Guild call on February 14th.,TRUE,0,150,2,0,
1975,14.02.23,21.02.23,SingularityNET,Ambassador Program,Community Communication,Process Guild call on February 14th.,TRUE,0,150,2,0,
1976,14.02.23,21.02.23,SingularityNET,Ambassador Program,Community Communication,Process Guild call on February 14th.,TRUE,0,150,2,0,
1978,16.02.23,21.02.23,SingularityNET,Ambassador Program,"Governance,Community Communication",Participate in loyalty voting test session feb 16th 11UTC - 10usd,TRUE,0,100,2,10,
1979,16.02.23,21.02.23,SingularityNET,Ambassador Program,"Governance,Community Communication",Participate in loyalty voting test session feb 16th 11UTC - 10usd,TRUE,0,100,2,10,
1980,16.02.23,21.02.23,SingularityNET,Ambassador Program,"Governance,Community Communication",Participate in loyalty voting test session feb 16th 11UTC - 10usd,TRUE,0,100,2,10,
1981,16.02.23,21.02.23,SingularityNET,Ambassador Program,"Governance,Community Communication",Participate in loyalty voting test session feb 16th 11UTC - 10usd,FALSE,0,100,2,10,
1982,16.02.23,21.02.23,SingularityNET,Ambassador Program,"Governance,Community Communication",Participate in loyalty voting test session feb 16th 11UTC - 10usd,TRUE,0,100,2,10,
2138,28.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 28,TRUE,0,100,2,0,
2139,28.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 28,TRUE,0,100,2,0,
2140,28.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 28,TRUE,0,100,2,0,
2141,28.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 28,TRUE,0,100,2,0,
2142,28.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 28,TRUE,0,100,2,0,
2143,28.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 28,FALSE,0,100,2,0,
2144,28.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 28,TRUE,0,100,2,0,
2145,28.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 28,TRUE,0,100,2,0,
2146,28.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 28,TRUE,0,100,2,0,
2147,28.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 28,TRUE,0,100,2,0,
2148,23.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Treasury Guild Meeting February 23,TRUE,0,100,2,0,
2149,23.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Treasury Guild Meeting February 23,TRUE,0,100,2,0,
2150,23.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Treasury Guild Meeting February 23,TRUE,0,100,2,0,
2151,23.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Treasury Guild Meeting February 23,TRUE,0,100,2,0,
2152,23.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Treasury Guild Meeting February 23,TRUE,0,100,2,0,
2153,23.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Treasury Guild Meeting February 23,TRUE,0,100,2,0,
2154,23.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Treasury Guild Meeting February 23,TRUE,0,100,2,0,
2155,21.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 21,TRUE,0,150,2,0,
2156,21.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 21,TRUE,0,150,2,0,
2157,21.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 21,TRUE,0,150,2,0,
2158,21.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 21,TRUE,0,150,2,0,
2159,21.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 21,TRUE,0,150,2,0,
2160,21.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 21,TRUE,0,150,2,0,
2161,21.02.23,02.03.23,SingularityNET,Ambassador Program,Community Communication,Process Guild - February 21,TRUE,0,150,2,0,
2162,16.02.23,02.03.23,SingularityNET,Ambassador Program,"Governance,Community Communication",Participate in loyalty voting session feb 16th 15 UTC - 100 Gimbal,TRUE,0,100,2,0,
2163,16.02.23,02.03.23,SingularityNET,Ambassador Program,"Governance,Community Communication",Participate in loyalty voting session feb 16th 15 UTC - 100 Gimbal,TRUE,0,100,2,0,
2164,16.02.23,02.03.23,SingularityNET,Ambassador Program,"Governance,Community Communication",Participate in loyalty voting session feb 16th 15 UTC - 100 Gimbal,TRUE,0,100,2,0,
2165,16.02.23,02.03.23,SingularityNET,Ambassador Program,"Governance,Community Communication",Participate in loyalty voting session feb 16th 15 UTC - 100 Gimbal,TRUE,0,100,2,0,
2166,16.02.23,02.03.23,SingularityNET,Ambassador Program,"Governance,Community Communication",Participate in loyalty voting session feb 16th 15 UTC - 100 Gimbal,TRUE,0,100,2,0,
